品項	填入者	同義詞	登錄	難丟的原因1	難丟的原因2	圖層評估	可分解為哪些部分/材質（for網站）	材質備註	可分解為哪些部分/材質	回收前使用者應做什麼處理	處理步驟備註	使用建議	處理後應該丟哪一類?	處理備註	回收狀況	使用場域	各縣市回收狀況	回收率	資源化比例	資源化比例	文案	內容撰寫QA（vs. REnato）	字數統計	標籤	補充說明	祝福文案	年使用量	有多少廠商願意回收	後續處理流程（可回收/不可回收）
手搖飲料杯（示範格式）		手搖杯、飲料杯、一次性飲料杯、珍珠奶茶	◯	-	-				"吸管-PP/PE
封膜-PP/PE
鋁罐	Re-lab	啤酒罐、可口可樂、可樂、啤酒	◯			✕	鋁罐-鋁		不須拆解-鋁	清洗、壓扁或攤平			鋁罐-廢鐵鋁容器		可回收	1,2,5,6	可回收	廢鐵鋁容器：45.79%	廢鐵鋁容器：97.82%	廢鐵鋁容器：97.82%	每到夏天就可能會想來點清涼的飲料，除了手搖飲料跟瓶裝飲料外，罐裝的汽水、啤酒常也是熱門選擇。鋁罐的材質主要為鋁，因為它質地輕、抗酸的特性而成為飲料包裝的首選。雖然可以回收，但其實回收率不高，建議還是少用比較好。建議的回收方式是喝完後簡單沖洗後壓扁後交給回收人員就可以囉。		135	A		易拉罐拉環會斷掉
玻璃瓶	Re-lab	啤酒瓶、酒瓶、酒精瓶、可樂、台啤	◯			◯	"玻璃罐-玻璃
瓶蓋-鐵"		"玻璃罐-玻璃
瓶蓋-鐵"	清洗			"玻璃罐-玻璃容器類
瓶蓋-鐵製品類"		可回收	1,2,5,6	可回收	玻璃容器類：78.63%	廢玻璃容器：97.21%	廢玻璃容器：97.21%	玻璃是耐高溫、高壓的材質，甚至可添色幫助遮光，在食品產業中扮演著相當重要的角色，但因為材質重、易破損的特性，部分逐漸被塑膠取代。其實玻璃是資源化比例相當高、回收再生耗損極低的材料，但回收時又重又可能破損而不小心割傷，很多小型業者不願意參與玻璃的回收，甚至在離島因為回收成本太高而堆積棄置無法進入回收系統。最好的回收方式是集中交由回收車處理，不需撕去表面的貼紙。而專賣局的米酒瓶其實可以拿去各大連鎖超市超商回收換退瓶費2元又可以讓資源重複利用喔！		222	A		玻璃瓶就會打翻在包包裡
網購紙箱	Re-lab	網購包裝、紙箱	◯	使用-回收前需要分離/沖洗		◯	"膠帶-塑膠
箱體-紙"		"膠帶-塑膠
箱體-紙"	撕除膠帶			"膠帶-一般垃圾
箱體-廢紙類"		可回收	1,2,5,6	"膠帶-不可回收、
箱體-可回收"	-	-	-	在街頭回收的阿北阿罵眼中兵家必爭的瓦愣紙箱雖然回收率相對其他廢紙盒包裝稍微高一些，但在回收的過程中會產生二氧化碳排放跟廢水，其實都不是對環境較好的選擇。建議還是減少沒有必要的消費，少下運送的碳排與包裝，愛護地球也愛護荷包。		111	A		網購會一直寄錯超商
寶特瓶	Re-lab	寶特瓶、塑膠瓶	◯	使用-回收前需要分離/沖洗		◯	"瓶蓋-塑膠(PP)
寶特瓶-塑膠(PET)
塑膠套-塑膠(PVC/PET)"		"瓶蓋-塑膠(PP)
寶特瓶-塑膠(PET)
塑膠套-塑膠(PVC、PET)"	清洗、壓扁或攤平		鎖上瓶蓋、不用撕塑膠套	"瓶蓋-塑膠容器類
寶特瓶-塑膠容器類
塑膠套-塑膠容器類"	丟棄時不需撕除塑膠套、也不需分離瓶蓋	可回收	1,2,5,6	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	"由PET製成的瓶身、PP製成的瓶蓋與PVC製成的標籤組成寶特瓶飲料，你知道喝完後該怎麼處理嗎？
可能有人會拆下標籤並將瓶蓋分別處理，但這樣反而讓瓶蓋在處理過程中逸失，降低回收的比例。其實只要清洗、壓扁後蓋上瓶蓋，就可以直接交由回收人員處理了。在工廠內會經過機器破碎後以液體再次清洗並運用密度差異的特性進行選別，其實瓶蓋不分家才是更好的處理方式喔！"		173	A		打開可樂時會發現都沒氣了
衣架	Re-lab	衣架	◯	處理-組成物品的材質複雜	使用-民眾不知道如何回收	◯	"衣架-複合材質
尖端保護套-橡膠"	衣架本體含塑膠(PVC)、鐵	"衣架本體-鐵、不鏽鋼、塑膠
尖端保護套-橡膠"	分解零件			"衣架-鐵製品類
尖端保護套-一般垃圾"		部分可回收	5	"
衣架本體-
金屬製：可回收
塑膠製：可回收
木製：不可回收
尖端保護套-不可回收"				"尖端保護套是包覆整個衣架的還是尖端而已？尖端材質真的可以回收？這麼小！

金屬曬衣架至今仍是家庭曬衣服不可獲缺的好幫手，由於材質的關係，衣架用久了也會有變形或是生鏽的問題，難免淪為生活中的消耗品。除了拆下尖端的塑膠套後直接交由回收人員回收外，其實運用一些小巧思，可以將這些舊鐵絲再製成生活鐘的各種便利小物，重新賦予這些曬衣架新的生命。"	建議將尖端保護套拿掉，因為不是所有的衣架都有，且衣架材質不僅限於鐵製	167	B		衣服都會忘記晾
生鮮托盤	Re-lab	生鮮、沙拉盒、超商托盤、食物包裝	◯	使用-民眾不知道如何回收	處理-價格誘因低	◯	"托盤-塑膠(PS/PLA)
保鮮膜-塑膠(PE/PVC/PVDC)"		"托盤-塑膠(保麗龍、PLA)
保鮮膜-塑膠(PE、PVC、PVDC、PMP)"	分解零件			"托盤-塑膠容器
保鮮膜-一般垃圾"	部分生鮮托盤材質為PLA，則不可回收	部分可回收	1,5,6	"托盤-可回收(pla不可回收)、
保鮮膜-不可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%		這裡指的應該是塑膠的托盤，材質應該要寫PS/PLA（懋）	0	B	字數無法再少了QQ	唐老師的星座週運勢會漏掉你
泡麵碗	Re-lab	紙碗、陽春麵碗、免洗紙碗	◯	使用-回收前需要分離/沖洗	處理-價格誘因低	複雜	"上蓋-複合材質
保麗龍碗-塑膠(PS)
塑膠淋膜-塑膠(PP)"	上蓋材質包含PE、鋁、銅版紙	"上層
碗-紙, 塑膠(保麗龍)
塑膠淋膜-塑膠(PP)
油包-採多層材質，依序有ONy、PE、PE
粉包-採多層材質，依序有PET、PE、鋁箔、PE
調理包-採多層材質，依序有PET、鋁箔、ONy、CPP"	清洗、分解零件			"上蓋-一般垃圾
保麗龍碗-塑膠容器類
塑膠淋膜-無"		部分可回收	1,2,5,6	碗-可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	無論是作為颱風天的儲備糧食，或是月底薪水進帳前共患難的戰友，泡麵一直是許多人的櫥櫃良伴，但吃完一碗熱騰騰的泡麵後，你會怎麼處理呢？由複合鋁箔或塑膠包裝的調味料跟封蓋丟入一般垃圾，而有淋膜的紙碗經過沖洗、擦去油脂後就可以跟廢紙容器一起回收囉。		120	A		打開泡麵會發現沒有附調味包
紙便當盒	Re-lab	便當盒、外帶便當	◯	使用-回收前需要分離/沖洗	處理-組成物品的材質複雜	複雜	"紙容器-紙
塑膠淋膜-塑膠(PE/PP)
橡皮筋-橡膠"		"紙容器-紙
塑膠淋膜-塑膠(PE、PP)
橡皮筋-橡膠"	清洗			"紙容器-紙容器類
塑膠淋膜-不需另外拆開
橡皮筋-一般垃圾"		部分可回收	1,2,5,6	"紙容器-可回收、
橡皮筋-不可回收"	紙容器類：63.97%	廢紙容器：95.74%	廢紙容器：95.74%	「午餐吃什麼」大概是台灣人心中最難解的哲學問題沒有之一。這時便宜均衡的便當就是最不敗的選擇。但吃完後你是不是就直接將所有垃圾用塑膠提袋包一包通通丟進垃圾桶呢？如此一來不只廚餘的水分會影響焚化爐的效率與壽命，全民還得一起承擔隨之的環境問題與社會成本。正確處理方法是將廚餘丟入熟廚餘桶、餐盒容器沖洗多餘的油份後進行與紙容器回收，而筷子與橡皮筋則丟入一般垃圾。		177	A	"燃燒不完全造成戴奧辛

清洗乾淨或以衛生紙擦拭乾淨即可。
參考網站：https://rfmb.thenewslens.com/r-paper/article/125508"	便當打開會都是滿滿三色豆
塑膠吸管	Re-lab	吸管	◯	使用-民眾不知道如何回收		✕	"吸管-塑膠(PP/PE/PLA)
吸管套-塑膠(PE/LDPE)"		"吸管：塑膠(PP、PE、  PLA)
吸管套：塑膠(PE、LDPE)"	正確分類			"吸管-部分縣市|可回收
吸管套-一般垃圾"	可回收縣市：基隆市、新北市、南投縣、嘉義市、臺南市及金門縣	其他	1,2,5,6	"可回收：基隆市、新北市、南投縣、嘉義市、臺南市及金門縣
不可回收：其他16縣市"		-	-	吸管起源於1888年，當時為了避免喝特製冰涼的調酒時避免回溫而用麥桿吸飲，後來逐步改良材質後就成了現在的塑膠吸管。就算99%的吸管都妥善被焚化，插進海龜鼻孔裡的就是那進入掩埋場後被沖入河川、流入大海的1%。雖然有許多城市號稱吸管可回收，但建議還是盡可能減少使用，改為可重複使用的環保吸管。		144	B		吸管一插就會裂開	30億根
鏡子	Re-lab	鏡子	◯	使用-民眾不知道如何回收		◯	"鏡面-玻璃
鏡框-金屬/木頭"		"鏡面-玻璃
鏡框或支架-木、金屬"	正確分類			"鏡面-一般垃圾
鏡框-一般垃圾"		不可回收	5	不可回收		-	-	魔鏡啊魔鏡，既然我不是最美的人，那我要把你拿去回收掉！休蛋幾咧！鏡子雖然主要是玻璃材質，但鍍上了硝化銀後其實就無法進入玻璃回收系統重新再製，建議直接丟入一般垃圾，或聯繫清潔隊以大型垃圾處理。但如果你的鏡子沒有得罪你，還是可以轉贈給其他需要的人更環保啦。		126	C		眼影會在最後一刻畫歪
泡泡紙	Re-lab	氣泡紙、防撞紙、網購包裝	◯	使用-民眾不知道如何回收		✕	"泡泡紙-塑膠(PE)
"		"袋子-塑膠(PE)
黏在上面的膠帶-塑膠"	正確分類			泡泡紙-一般垃圾		不可回收	5,6	不可回收		-	-	抱歉了錢錢，但我真的需要那酷東西。每到週年慶購物節或是黑色星期五特賣，你總是會手滑嗎？隨著時代的改變你可能不再到實體店面人擠人，但改在網路上購買隨之而來一起寄來的，常是滿滿的泡泡紙山與防撞袋海。雖然他們的材質都是塑膠，但是膜狀塑膠的回收效率不佳通常很難被再製，只能壓縮後丟進一般垃圾中，或可以轉贈給需要的商家重複使用。		159	B		網購會一直寄錯超商
防撞乖乖粒	Re-lab	緩衝粒、網購防撞、網購包裝、EPE乖乖粒	◯	使用-民眾不知道如何回收	處理-價格誘因低	✕	防撞乖乖粒-塑膠(EPS/EPE)		塑膠(EPS、EPE、EPP)	正確分類			防撞乖乖粒-一般垃圾		不可回收	5,6	可回收		-	-	跟網購的泡泡紙、防撞袋一樣會混裝近網購紙箱內一粒粒的緩衝泡棉（俗稱乖乖粒），通常大家就跟商品的包裝一起拆開就丟入一般垃圾吧？ 其實這種EPE材質是可以回收再利用，甚至可以代替部分原始原料再製成油漆塗料、減少製造過程的碳排放。下次看到紙箱裝有這些「乖乖」時，別跟泡泡紙一起丟到一般垃圾了，請讓他乖乖地進到回收系統吧！		157	B		網購會一直寄錯超商
報紙	Re-lab		◯	使用-民眾不知道如何回收	處理-組成物品的材質複雜	✕	"報紙-紙、油墨
"		紙、油墨	壓扁或攤平			報紙-廢紙類		可回收	1,2,5	可回收	無資料	-	-	走在路上拿到捷運站旁放的發的廣告或免費報紙，看完後的你可能隨手就丟進路旁的垃圾桶吧？但報紙主要的成分是紙類和大豆油墨其實是可以回收的，或許在家中或公司為了閱讀方便會裝訂釘書針，記得拆掉之後再回收喔！		99	A		捷運會坐過站
手提紙袋	Re-lab	手提袋、紙袋	◯			✕	"提把-紙
袋子-紙"		"提把-塑膠、紙
袋子-紙"	壓扁或攤平、撕除膠帶			手提紙袋-廢紙類		可回收	1,5,6	可回收	無資料	-	-	大家都覺得「紙比較環保」，不要拿塑膠袋，在環境意識日漸受到重視的當今，紙袋的復興與商業需求上算是打了一場勝仗。但紙袋即使紙袋可以回收、生物生物分解或製成堆肥，甚至原料來源可再生，但是製造及運送紙袋所需的能源遠超過塑膠，而且紙袋的強度讓它可以被重複使用的次數減少，如果掩埋處理的話還會產生溫室氣體的甲烷，其實並不是更好的選擇。盡可能還是自備環保袋或以手拿取代才是更環保的做法。		187	A		拿到紙袋底部就會破掉
餅乾禮盒	Re-lab	餅乾盒、禮盒、喜餅	◯			複雜	"蓋子-鐵
內盒-塑膠(PE/PET/PS)
外盒-鐵
膠帶-塑膠"		"內盒-塑膠(PE、PET、 PS)
外盒- 馬口鐵、塑膠、紙、鐵
膠帶-塑膠"	分解零件、撕除膠帶			"蓋子-廢鐵鋁容器
內盒-塑膠容器類
外盒-廢鐵鋁容器
膠帶-一般垃圾"		部分可回收	2,5,6	"內盒-可回收
外盒- 可回收
膠帶-不可回收"	"塑膠容器類：45.79%
廢鐵鋁容器：45.79%"	"廢塑膠容器：93.77%
廢紙容器：95.74%
廢鐵容器：45.79%"	"廢塑膠容器：93.77%
廢紙容器：95.74%
廢鐵容器：45.79%"	"每到佳節時分你可能會想要送禮給身旁的親朋好友聊表心意，過去可能你會覺得精美華麗的包裝是一種禮貌的表現，但如果你真的珍惜彼此的情誼、珍惜一起生存的地球，那你可以選擇包裝精簡、包材回收率高的產品。

G30跟I30的材質衝突"	G30是材質沒錯，I30是以目前的分類進行填寫	110	A		打開喜餅都是不喜歡的口味
塑膠湯匙	Re-lab	湯匙、一次性湯匙	◯			✕	塑膠湯匙-塑膠(PP)		不須拆解-塑膠(PP)	清洗			塑膠湯匙-一般塑膠類		可回收	1,2,5,6,	可回收	無資料	-	-	由PP材質製成的塑膠湯匙在使用後只要經過擦拭或清洗就可以跟廢塑膠一起回收。但餐廳作業動線如果設計不良，老闆拿完錢、用完抹布的手又親切的拿湯匙給你，實在不是最衛生的選擇，建議大家出門還是自備湯匙。		97	B		外帶的東西會漏出來
盆栽	Re-lab	花盆	◯			◯	"植物-生質
土-生質
花盆-塑膠"		"植物-生質
土-生質
花盆-陶瓷、塑膠、 玻璃...etc.
https://www.slvs.ntct.edu.tw/ischool/publish_page/4/?cid=10006"	清理			"植物-生廚餘
土-生廚餘
花盆-一般塑膠類"		可回收	1,2,5,6	"花盆：
塑膠：不可回收
陶瓷：不可回收
玻璃：待確
"	無資料	-	-	當你整理「前」男／女友留在你家的東西時，你發現了窗前那盆栽。縱使植物是無罪的，但睹物思情的你還是巴不得讓他從你眼前消失。要丟到垃圾桶前先休蛋幾列！盆栽的土跟植物屬於生質資源，簡單來說這株植物在回收系統跟你的心中都跟廚餘無異，應該丟到生廚餘桶化作堆肥的春泥更護花，而裝土的盆栽清洗後塑膠與玻璃一樣可以回收喔。	"塑膠盆栽不可回收嗎？Q_Q
塑膠盆栽可以回收"	153	C		外帶的東西會漏出來
沐浴乳瓶罐	Re-lab	洗髮精、沐浴乳、潤髮乳	◯			◯	"壓頭-塑膠(PP)
塑膠瓶-塑膠(HDPE/PETG)"		"壓頭-塑膠(PP)
塑膠瓶-塑膠(HDPE、 PETG)"	清洗、分解零件			"壓頭-塑膠容器類
塑膠瓶-塑膠容器類"		可回收	4	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	用完的沐浴乳跟洗髮精容器怎麼處理呢？這些清潔用品的瓶身其實跟家庭號牛奶瓶一樣HDPE，我有幫你洗乾淨了，現在換你把它沖洗乾淨後跟塑膠瓶罐一起回收。但其實多數的塑膠在回收的過程都會降級成次等材料，最好的方法還是盡可能添購補充包更省錢又環保。		119	A		洗身體就會用到洗髮精
洗面乳	Re-lab		◯			◯	"瓶蓋-塑膠(PP)
塑膠軟管-塑膠(PE)"		"瓶蓋-塑膠(PP)
塑膠軟管-塑膠(PE)"	清洗、分解零件			"瓶蓋-塑膠容器類
塑膠軟管-塑膠容器類"		可回收	4	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	洗面乳把你的臉洗乾淨，但用完後就換你把他洗乾淨了。由PE塑膠製成管筒、PP塑膠製成蓋子的洗面乳都是可以回收的材質，使用完畢的容器清洗後就可以廢塑膠容器進行回收。		80	B		刷牙的時候會擠到洗面乳
濾水器濾芯	Re-lab	濾水器	◯			✕	濾水器濾芯-複合材質	外殼為塑膠(PP/AS)、過濾層含PP棉、活性碳、RO膜等	"不須拆解-
過濾層：採多層材質，依序為PP棉、活性碳、RO膜
外殼：塑膠(PP、AS)"	正確分類			濾水器濾芯-一般垃圾		不可回收	3	不可回收		-	-	濾水器包含的結構複雜，中間可能使用了各種材料如活性碳、PP濾網等，這些物件材質複合、拆解困難，甚至使用後會吸附各種重金屬、髒污細菌與礦物質，所以即使外觀看起來只像是一條塑膠棒，使用後還是只能丟入一般垃圾處理，這聽起來可能會讓你有點喪氣，但如果一支濾芯過濾的飲水可以超過3300罐瓶裝水的話也是功成身退呀！		152	C		唐老師的星座週運勢會漏掉你
免洗筷	Re-lab	竹筷	◯			◯	"封套-塑膠(PE)
筷子-竹"		"封套-塑膠(PE)
筷子-竹"	正確分類			"封套-一般垃圾
筷子-一般垃圾"		不可回收	1,2,3,6	不可回收		-	-	免洗筷可以回收嗎？坊間曾謠傳筷子尾端的刻痕數代表回收的次數，但謠言止於智者，生長快速、價錢便宜的竹子不會是刻意回收重複使用的資源。可是竹筷為了漂白定色常會以二氧化硫燻製，且加工製造的環境通常缺少滅菌的製程，免洗筷使用時溶出的物質不但影響風味更不利健康，建議平常自備環保餐具才是健康又衛生的選擇。		147	B		用免洗筷會被木屑刺到
