品項	填入者	同義詞	登錄	難丟的原因1	難丟的原因2	圖層評估	可分解為哪些部分/材質（for網站）	材質備註	可分解為哪些部分/材質	回收前使用者應做什麼處理	處理步驟備註	使用建議（替代方案）	處理後應該丟哪一類?	處理備註	回收狀況	使用場域	各縣市回收狀況	回收率	資源化比例	資源化比例	文案	內容撰寫QA（vs. REnato）	字數統計	標籤	補充說明	祝福文案	年使用量	有多少廠商願意回收	後續處理流程（可回收/不可回收）
手搖飲料杯（示範格式）		手搖杯、飲料杯、一次性飲料杯、珍珠奶茶	◯	-	-				"吸管-PP/PE
封膜-PP/PE
網購紙箱	Re-lab	網購包裝、紙箱、Pchome、Momo、網路購物	◯	使用-回收前需要分離/沖洗		◯	"膠帶-塑膠
箱體-紙"		"膠帶-塑膠
箱體-紙"	撕除膠帶、正確分類			"膠帶-一般垃圾
箱體-廢紙類"		可回收	2,5,6	"膠帶-不可回收、
箱體-可回收"	-	-	-	網購真的很方便，但在台灣一年就產生了 1 億個包裝垃圾。現在環保署和網購業者也開始著手，規範現有包裝（例如：體積小的產品不能用這麼大的包裝），也有循環包裝讓消費者可以歸還包裝再利用。希望找到更好的選擇。而我們個人，也可以在消費前好好思考，減少不必要的過度消費，愛護地球和荷包。		138	A		網購會一直寄錯超商
寶特瓶	Re-lab	寶特瓶、塑膠瓶、茶裏王、原萃、綠茶、氣泡水、紅茶、運動飲料、可樂、汽水、瓶裝水、雪碧、礦泉水	◯	使用-回收前需要分離/沖洗		◯	"瓶蓋-塑膠（PP）
寶特瓶-塑膠（PET）
塑膠套-塑膠（PVC/PET）"		"瓶蓋-塑膠（PP）
寶特瓶-塑膠（PET）
塑膠套-塑膠（PVC、PET）"	清洗、壓扁或攤平、正確分類	鎖上瓶蓋、不用撕塑膠套	自備環保杯啦！	"瓶蓋-塑膠容器類
寶特瓶-塑膠容器類
塑膠套-塑膠容器類"	丟棄時不需撕除塑膠套、也不需分離瓶蓋	可回收	1,2,5,6,7	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	"寶特瓶都是塑膠，但瓶身、瓶蓋、標籤紙分別是三種不同的材質： PET、PP、PVC，回收時要拆開嗎？

答案是不拆！因為先拆開反而讓瓶蓋在處理過程中跑不見，降低回收的比例。其實只要簡易沖洗、壓扁後蓋上瓶蓋，就可以回收了。在工廠內會經過機器破碎後，以不同材質密度的差異分離，如此，瓶蓋才會被好好回收。"		148	A		打開可樂時會發現都沒氣了
衣架	Re-lab	衣架、曬衣架	◯	處理-組成物品的材質複雜	使用-民眾不知道如何回收	◯	"衣架-複合材質
尖端保護套-橡膠"	衣架本體含塑膠（PVC）、鐵	"衣架本體-鐵、不鏽鋼、塑膠
尖端保護套-橡膠"	分解零件、正確分類			"衣架-鐵製品類
尖端保護套-一般垃圾"		部分可回收	5	"
衣架本體-
金屬製：可回收
塑膠製：可回收
木製：不可回收
尖端保護套-不可回收"				由於材質的關係，衣架用久了也會有變形或是生鏽的問題，難免淪為生活中的消耗品。除了拆下尖端的保護套後直接交由回收人員回收外（有塑膠皮的金屬衣架一樣請這麼做喔），其實運用一些小巧思，可以將這些舊鐵絲再製成生活鐘的各種便利小物，重新賦予這些曬衣架新的生命。	建議將尖端保護套拿掉，因為不是所有的衣架都有，且衣架材質不僅限於鐵製	125	B		衣服都會忘記晾
生鮮托盤	Re-lab	生鮮、沙拉盒、超商托盤、食物包裝	◯	使用-民眾不知道如何回收	處理-價格誘因低	◯	"托盤-塑膠（PS/PLA）
保鮮膜-塑膠（PE/PVC/PVDC）"		"托盤-塑膠（保麗龍、PLA）
保鮮膜-塑膠（PE、PVC、PVDC、PMP）"	分解零件、正確分類		可改去傳統市場等地購買無包裝食品	"托盤-塑膠容器
保鮮膜-一般垃圾"	部分生鮮托盤材質為PLA，則不可回收	部分可回收	1,5,6	"托盤-可回收（pla不可回收）、
保鮮膜-不可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	為了保鮮和防撞，包裝是門大學問：保鮮膜可能有4、5種不同的材質，但回收效率差的膜狀塑膠通常直接丟入一般垃圾。而托盤有可能是發泡塑膠 PS 或是生質塑膠 PLA，發泡塑膠可以清洗後回收，PLA 依規定一樣請丟回收，只是最後會被挑出焚化處理。最好的方法還是帶著環保袋跟盒子到傳統市場選購裸裝的食材吧！	這裡指的應該是塑膠的托盤，材質應該要寫PS/PLA（懋）	148	B	字數無法再少了QQ	唐老師的星座週運勢會漏掉你
泡麵碗	Re-lab	紙碗、陽春麵碗、免洗紙碗	◯	使用-回收前需要分離/沖洗	處理-價格誘因低	複雜	"上蓋-複合材質
保麗龍碗-塑膠（PS）
塑膠淋膜-塑膠（PP）"	上蓋材質包含塑膠（PE）、鋁、銅版紙	"上層
碗-紙, 塑膠（保麗龍）
塑膠淋膜-塑膠（PP）
油包-採多層材質，依序有ONy、PE、PE
粉包-採多層材質，依序有PET、PE、鋁箔、PE
調理包-採多層材質，依序有PET、鋁箔、ONy、CPP"	清洗、分解零件、正確分類			"上蓋-一般垃圾
保麗龍碗-塑膠容器類
塑膠淋膜-@保麗龍碗"		部分可回收	1,2,5,6	碗-可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	無論是作為颱風天的儲備糧食，或是月底薪水進帳前共患難的戰友，泡麵一直是許多人的櫥櫃良伴，但吃完一碗熱騰騰的泡麵後，你會怎麼處理呢？由複合鋁箔或塑膠包裝的調味料跟封蓋丟入一般垃圾，而有淋膜的紙碗經過沖洗、擦去油脂後就可以跟廢紙容器一起回收囉。		120	A		打開泡麵會發現沒有附調味包
紙便當盒	Re-lab	便當盒、外帶便當、排骨便當、雞腿便當、池上便當、午餐便當	◯	使用-回收前需要分離/沖洗	處理-組成物品的材質複雜	複雜	"紙容器-紙
塑膠淋膜-塑膠（PE/PP）
橡皮筋-橡膠"		"紙容器-紙
塑膠淋膜-塑膠（PE、PP）
橡皮筋-橡膠"	清洗、正確分類		自備環保容器	"紙容器-紙容器類
塑膠淋膜-@紙容器
橡皮筋-一般垃圾"		部分可回收	1,2,5,6,7	"紙容器-可回收、
橡皮筋-不可回收"	紙容器類：63.97%	廢紙容器：95.74%	廢紙容器：95.74%	「午餐吃什麼」大概是台灣人心中最難解的哲學問題沒有之一，這時便宜均衡的便當就是不敗選擇。很多人吃完會直接將所有東西、連同廚餘打包丟垃圾桶，但廚餘的水分會讓應該維持高溫焚化爐降低效率與壽命。確處理方法是將廚餘分開處理、餐盒容器沖洗多餘的油份後進行與紙容器回收，而筷子與橡皮筋則丟入一般垃圾。		144	A	"燃燒不完全造成戴奧辛

清洗乾淨或以衛生紙擦拭乾淨即可。
參考網站：https://rfmb.thenewslens.com/r-paper/article/125508"	便當打開會都是滿滿三色豆
塑膠吸管	Re-lab	吸管、手搖杯	◯	使用-民眾不知道如何回收		✕	"吸管-塑膠（PP/PE/PLA）
吸管套-塑膠（PE/LDPE）"		"吸管：塑膠（PP、PE、  PLA）
吸管套：塑膠（PE、LDPE）"	正確分類		直接就口喝，或者使用環保吸管（但如果你一年用沒幾次，還是別去買環保吸管）	"吸管-部分縣市|可回收
吸管套-一般垃圾"	可回收縣市：基隆市、新北市、南投縣、嘉義市、臺南市及金門縣	其他	1,2,5,6,7	"可回收：基隆市、新北市、南投縣、嘉義市、臺南市及金門縣
不可回收：其他16縣市"		-	-	吸管起源於1888年，當時為了避免喝特製冰涼的調酒時避免回溫而用麥桿吸飲，後來逐步改良材質後就成了現在的塑膠吸管。就算垃圾處理系統能處理多數的吸管，但使用量終究太大，以致流入環境、卡進海龜鼻孔中。雖然有許多城市號稱吸管可回收，但建議還是盡可能減少使用喔！		127	B		吸管一插就會裂開	30億根
鏡子	Re-lab	魔鏡、白雪公主	◯	使用-民眾不知道如何回收		◯	"鏡面-玻璃
鏡框-金屬/木頭"		"鏡面-玻璃
鏡框或支架-木、金屬"	正確分類			"鏡面-@鏡框
鏡框-一般垃圾"		不可回收	5	不可回收		-	-	魔鏡啊魔鏡，既然我不是最美的人，那我要把你拿去回收掉！休蛋幾咧！鏡子雖然主要是玻璃材質，但鍍上了硝化銀後其實就無法進入玻璃回收系統重新再製，建議直接丟入一般垃圾，或聯繫清潔隊以大型垃圾處理。但如果你的鏡子沒有得罪你，還是可以轉贈給其他需要的人更環保啦。		126	C		眼影會在最後一刻畫歪
泡泡紙	Re-lab	氣泡紙、防撞紙、網購包裝	◯	使用-民眾不知道如何回收		✕	"泡泡紙-塑膠（PE）
"		"袋子-塑膠（PE）
黏在上面的膠帶-塑膠"	正確分類			泡泡紙-一般垃圾		不可回收	5,6	不可回收		-	-	抱歉了錢錢，但我真的需要那酷東西。每到雙十一或是領薪水，你總會手滑嗎？隨著網購一起寄來的，常是包了又包的泡泡紙與防撞袋。雖然他們的材質都是塑膠，但是膜狀塑膠的再利用價值較低，只能壓縮後丟進一般垃圾中，或可以轉贈給需要的商家重複使用。		116	B		網購會一直寄錯超商
防撞乖乖粒	Re-lab	緩衝粒、網購防撞、網購包裝、EPE乖乖粒、Pchome、Momo、網路購物	◯	使用-民眾不知道如何回收	處理-價格誘因低	✕	防撞乖乖粒-塑膠（EPS/EPE）		塑膠（EPS、EPE、EPP）	正確分類			防撞乖乖粒-一般垃圾		不可回收	5,6	可回收		-	-	跟網購的泡泡紙、防撞袋一樣會混裝近網購紙箱內一粒粒的緩衝泡棉（俗稱乖乖粒），通常大家就跟商品的包裝一起拆開就丟入一般垃圾吧？ 其實這種材質是可以回收再利用，甚至可以再製成油漆塗料、減少製造過程的碳排放。下次看到紙箱裝有這些「乖乖」時，請讓他乖乖進到回收系統吧！		130	B		網購會一直寄錯超商
報紙	Re-lab		◯	使用-民眾不知道如何回收	處理-組成物品的材質複雜	✕	"報紙-紙、油墨
"		紙、油墨	壓扁或攤平、正確分類			報紙-廢紙類		可回收	2,5	可回收	無資料	-	-	走在路上拿到捷運站旁放的發的廣告或免費報紙，看完後的你可能隨手就丟進路旁的垃圾桶吧？但報紙主要的成分是紙類和大豆油墨其實是可以回收的，或許在家中或公司為了閱讀方便會裝訂釘書針，記得拆掉之後再回收喔！		99	A		捷運會坐過站
手提紙袋	Re-lab	手提袋、紙袋	◯			✕	"提把-紙
袋子-紙"		"提把-塑膠、紙
袋子-紙"	壓扁或攤平、撕除膠帶、正確分類			手提紙袋-廢紙類		可回收	1,5,6,7	可回收	無資料	-	-	大家都覺得「紙比較環保」而不拿塑膠袋。但即使紙袋可以回收、生物分解或製成堆肥、原料來源可再生，但是製造及運送紙袋所需的能源遠超過塑膠，而且紙袋的強度較差，可重複利用次數較少。所以「塑膠袋 vs. 紙袋 誰環保這問題其實沒標準答案。盡可能用多次點、自備環保袋或以手拿取代才是更環保哦！		141	A		拿到紙袋底部就會破掉
餅乾禮盒	Re-lab	餅乾盒、禮盒、喜餅、結婚喜餅	◯			複雜	"蓋子-鐵
內盒-塑膠（PE/PET/PS）
外盒-鐵
膠帶-塑膠"		"內盒-塑膠（PE、PET、 PS）
外盒- 馬口鐵、塑膠、紙、鐵
膠帶-塑膠"	分解零件、撕除膠帶、正確分類			"蓋子-廢鐵鋁容器
內盒-塑膠容器類
外盒-廢鐵鋁容器
膠帶-一般垃圾"		部分可回收	2,5,6	"內盒-可回收
外盒- 可回收
膠帶-不可回收"	"塑膠容器類：45.79%
廢鐵鋁容器：45.79%"	"廢塑膠容器：93.77%
廢紙容器：95.74%
廢鐵容器：45.79%"	"廢塑膠容器：93.77%
廢紙容器：95.74%
廢鐵容器：45.79%"	每到喜慶佳節時分你可能會想要送禮給身旁的親朋好友聊表心意，過去可能你會覺得精美華麗、層層疊疊的包裝是一種禮貌的表現，但如果你真的珍惜彼此的情誼、珍惜一起生存的地球，那你可以選擇減少印刷、包裝精簡、包材盡可能單一的產品。	G30是材質沒錯，I30是以目前的分類進行填寫	109	A		打開喜餅都是不喜歡的口味
塑膠湯匙	Re-lab	湯匙、一次性湯匙、外帶湯匙	◯			✕	塑膠湯匙-塑膠（PP）		不須拆解-塑膠（PP）	清洗、正確分類		自備環保餐具	塑膠湯匙-一般塑膠類		可回收	1,2,5,6,7	可回收	無資料	-	-	在使湯匙喝熱湯時，可以多注意回收標誌要是「5」號，才是耐熱達到100度的PP。而由PP材質製成的塑膠湯匙，在使用後只要經過擦拭或簡易清洗就可以跟廢塑膠一起回收。		80	B		外帶的東西會漏出來
盆栽	Re-lab	花盆、植物、多肉	◯			◯	"植物-生質
土-生質
花盆-塑膠"		"植物-生質
土-生質
花盆-陶瓷、塑膠、 玻璃...etc.
https://www.slvs.ntct.edu.tw/ischool/publish_page/4/?cid=10006"	清理、正確分類			"植物-生廚餘
土-生廚餘
花盆-一般塑膠類"		可回收	2,5,6	"花盆：
塑膠：不可回收
陶瓷：不可回收
玻璃：待確
"	無資料	-	-	當你整理「前」男／女友留在你家的東西時，你發現了窗前那盆栽，睹物思情的你還是巴不得讓他從你眼前消失。要丟到垃圾桶前先修但幾勒！盆栽的土跟植物屬於生質資源，簡單來說這株植物在回收系統跟你的心中都跟廚餘無異，應該丟到生廚餘桶化作堆肥的春泥更護花，而裝土的盆栽清洗後請回收喔。	"塑膠盆栽不可回收嗎？Q_Q
塑膠盆栽可以回收"	135	C		外帶的東西會漏出來
沐浴乳瓶罐	Re-lab	洗髮精、沐浴乳、潤髮乳	◯			◯	"壓頭-塑膠（PP）
塑膠瓶-塑膠（HDPE/PETG）"		"壓頭-塑膠（PP）
塑膠瓶-塑膠（HDPE、 PETG）"	清洗、分解零件、正確分類		使用包裝相對簡單的肥皂、或購買大容量的商品	"壓頭-塑膠容器類
塑膠瓶-塑膠容器類"		可回收	4	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	用完的沐浴乳跟洗髮精容器怎麼處理呢？這些清潔用品的瓶身其實跟家庭號牛奶瓶一樣HDPE，無論是洗頭、潤絲、洗身體，用完的沐浴乳跟洗髮精瓶罐都可以回收。這些產品幫你去除髒污，用完後記得換你把它清乾淨再丟到回收桶喔。而補充包因為材質的緣故，只能丟入一般垃圾，所以到底誰比較環保...其實很難說。		144	A		洗身體就會用到洗髮精
洗面乳	Re-lab		◯			◯	"瓶蓋-塑膠（PP）
塑膠軟管-塑膠（PE）"		"瓶蓋-塑膠（PP）
塑膠軟管-塑膠（PE）"	清洗、分解零件、正確分類		使用包裝相對簡單的肥皂、或購買大容量的商品	"瓶蓋-塑膠容器類
塑膠軟管-塑膠容器類"		可回收	4	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	洗面乳把你的臉洗乾淨，但用完後就換你把他洗乾淨。由PE塑膠製成管筒、PP塑膠製成蓋子的洗面乳多半是可以回收的材質，使用完畢的容器清洗後就可以依據上方是否有標注回收編號，以廢塑膠容器進行回收。		95	B		刷牙的時候會擠到洗面乳
濾水器濾芯	Re-lab	濾水器	◯			✕	濾水器濾芯-複合材質	外殼為塑膠（PP/AS）、過濾層含塑膠 PP 棉、活性碳、RO 膜等	"不須拆解-
過濾層：採多層材質，依序為PP棉、活性碳、RO膜
外殼：塑膠（PP、AS）"	正確分類			濾水器濾芯-一般垃圾		不可回收	3	不可回收		-	-	濾水器包含的結構複雜，中間可能使用了各種材料如活性碳、PP濾網等，這些物件材質複合、拆解困難，甚至使用後會吸附各種重金屬、髒污細菌與礦物質，所以即使外觀看起來只像是一條塑膠棒，使用後還是只能丟入一般垃圾處理，這聽起來是無法回收，但如果一支濾芯過濾的飲水可以超過3300罐瓶裝水的話也是功成身退呀！		148	C		唐老師的星座週運勢會漏掉你
免洗筷	Re-lab	竹筷、筷子	◯			◯	"封套-塑膠（PE）
筷子-竹"		"封套-塑膠（PE）
筷子-竹"	正確分類		自備環保餐具	"封套-一般垃圾
筷子-一般垃圾"		不可回收	1,2,3,6,7	不可回收		-	-	免洗筷可以回收嗎？坊間曾謠傳筷子尾端的刻痕數代表回收的次數，但謠言止於智者，生長快速、價錢便宜的竹子不會是刻意回收重複使用的資源。可是竹筷為了漂白定色常會以二氧化硫燻製，且加工製造的環境通常缺少滅菌的製程，免洗筷使用時溶出的物質不但影響風味更不利健康，建議平常自備環保餐具才是健康又衛生的選擇。		147	B		用免洗筷會被木屑刺到
